iter	Passed	Remaining
964	4090	148
965	4094	144
966	4097	139
967	4100	135
968	4103	131
969	4106	127
970	4111	122
971	4114	118
972	4117	114
973	4120	109
974	4123	105
975	4127	101
976	4131	97
977	4134	92
978	4137	88
979	4140	84
980	4144	80
981	4147	76
982	4150	71
983	4153	67
984	4158	63
985	4162	59
986	4165	54
987	4169	50
988	4173	46
989	4176	42
990	4180	37
991	4183	33
992	4186	29
993	4189	25
994	4193	21
995	4196	16
996	4199	12
997	4202	8
998	4206	4
999	4209	0
